variable,line_num,filename,call_trace,line
r_ext,6567,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_cartesian,r_ext=x(l2)
r_int,6568,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_cartesian,r_int=x(l1)
rcool,6597,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_cartesian,if (rcool==0.) rcool=r_ext
fname,2128,./pencil-code/src/diagnostics.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_diagnostics_energy -> calc_0d_diagnostics_energy -> surf_mn_name,fname(iname)=a
fname,2130,./pencil-code/src/diagnostics.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_diagnostics_energy -> calc_0d_diagnostics_energy -> surf_mn_name,fname(iname)=fname(iname)+a
itype_name,2135,./pencil-code/src/diagnostics.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_diagnostics_energy -> calc_0d_diagnostics_energy -> surf_mn_name,itype_name(iname)=ilabel_surf
t_vart,4910,./pencil-code/src/hydro.f90,rhs_cpu -> rhs_cpu -> calc_modules -> time_integrals_hydro,t_vart=t_vart+dtcor
advec2,908,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,advec2=advec2+advec_cs2
maxadvec,909,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,if (lenergy.or.ldensity.or.lmagnetic.or.lradiation.or.lneutralvelocity.or.lcosmicray.or.  (ltestfield_z.and.iuutest>0))  maxadvec=maxadvec+sqrt(advec2)
maxadvec,910,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,if (ldensity.or.lhydro.or.lmagnetic.or.lenergy) maxadvec=maxadvec+sqrt(advec2_hypermesh)
maxadvec,923,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus,923,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus2,923,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus3,923,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxadvec,927,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus,927,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus2,927,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus3,927,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxadvec,934,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus,934,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus2,934,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
